movieid;title;rate;url;is_new;playable;cover
26445216;军舰岛;7.7;https://movie.douban.com/subject/26445216/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2462745948.jpg
26270502;绣春刀II：修罗战场;7.4;https://movie.douban.com/subject/26270502/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2492665487.jpg
26797712;相棒剧场版4;6.7;https://movie.douban.com/subject/26797712/;True;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403746910.jpg
26791647;如何成为拉丁情人;6.4;https://movie.douban.com/subject/26791647/;True;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2454386981.jpg
6311303;加勒比海盗5：死无对证;7.3;https://movie.douban.com/subject/6311303/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2459723975.jpg
26754513;人生密密缝;8.4;https://movie.douban.com/subject/26754513/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2385400300.jpg
25812712;神偷奶爸3;6.9;https://movie.douban.com/subject/25812712/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2469070974.jpg
26035290;悟空传;5.2;https://movie.douban.com/subject/26035290/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2475060299.jpg
25824686;变形金刚5：最后的骑士;4.8;https://movie.douban.com/subject/25824686/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2462475058.jpg
25857966;鲛珠传;4.4;https://movie.douban.com/subject/25857966/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2493908018.jpg
11600078;目击者之追凶;8.1;https://movie.douban.com/subject/11600078/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2494647817.jpg
26884892;大病;7.8;https://movie.douban.com/subject/26884892/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2457731729.jpg
7154408;猎杀星期一;6.8;https://movie.douban.com/subject/7154408/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2494970558.jpg
26644205;安娜贝尔2：诞生;6.5;https://movie.douban.com/subject/26644205/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2473041989.jpg
26425072;明月几时有;7.1;https://movie.douban.com/subject/26425072/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2479605659.jpg
1578714;神奇女侠;7.1;https://movie.douban.com/subject/1578714/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2460006593.jpg
26788667;名侦探柯南：唐红的恋歌;6.6;https://movie.douban.com/subject/26788667/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2413233083.jpg
25884801;记忆大师;7.2;https://movie.douban.com/subject/25884801/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455156816.jpg
26898747;父子雄兵;4.8;https://movie.douban.com/subject/26898747/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2492957074.jpg
25937854;银河护卫队2;8.1;https://movie.douban.com/subject/25937854/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455261804.jpg
26857170;西谎极落之太爆太子太空舱;6.7;https://movie.douban.com/subject/26857170/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2498904492.jpg
26387939;摔跤吧！爸爸;9.1;https://movie.douban.com/subject/26387939/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2457983084.jpg
26385746;荡寇风云;6.1;https://movie.douban.com/subject/26385746/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2459663581.jpg
26694497;酒吧;6.3;https://movie.douban.com/subject/26694497/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2386453929.jpg
26835911;22年后的自白：我是杀人犯;7.5;https://movie.douban.com/subject/26835911/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2447246559.jpg
26266085;三个老枪手;7.6;https://movie.douban.com/subject/26266085/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2493595992.jpg
26748223;失眠;6.0;https://movie.douban.com/subject/26748223/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2497145485.jpg
26951953;小戏骨：放开那三国;8.2;https://movie.douban.com/subject/26951953/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2496390505.jpg
26687241;仓皇一夜;5.5;https://movie.douban.com/subject/26687241/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2456953348.jpg
26857793;原谅他77次;6.6;https://movie.douban.com/subject/26857793/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2464315908.jpg
25903033;我是马布里;6.3;https://movie.douban.com/subject/25903033/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2494729086.jpg
20451290;新木乃伊;4.8;https://movie.douban.com/subject/20451290/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2459198108.jpg
26593587;天才少女;8.1;https://movie.douban.com/subject/26593587/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2394315478.jpg
26766760;与君相恋100次;6.3;https://movie.douban.com/subject/26766760/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2471315752.jpg
26420932;巴霍巴利王(下)：终结;7.1;https://movie.douban.com/subject/26420932/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2452075545.jpg
5920220;死亡笔记;4.0;https://movie.douban.com/subject/5920220/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2473039747.jpg
26260853;速度与激情8;7.1;https://movie.douban.com/subject/26260853/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2444256500.jpg
26803711;阿唐奇遇;7.2;https://movie.douban.com/subject/26803711/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2482761924.jpg
26383898;一锤定音;7.4;https://movie.douban.com/subject/26383898/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2455068697.jpg
26787124;青禾男高;4.0;https://movie.douban.com/subject/26787124/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2460295681.jpg
26788605;P与JK;5.2;https://movie.douban.com/subject/26788605/;True;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2390673514.jpg
26754831;绝世高手;6.2;https://movie.douban.com/subject/26754831/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2462744662.jpg
26640849;黑执事：大西洋之书;8.3;https://movie.douban.com/subject/26640849/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2497235921.jpg
11803087;异形：契约;7.3;https://movie.douban.com/subject/11803087/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2459944375.jpg
25765735;金刚狼3：殊死一战;8.3;https://movie.douban.com/subject/25765735/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2431980130.jpg
25818101;攻壳机动队;6.5;https://movie.douban.com/subject/25818101/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2453176400.jpg
25864124;亚瑟王：斗兽争霸;7.1;https://movie.douban.com/subject/25864124/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2453433569.jpg
27038968;蚯蚓;6.8;https://movie.douban.com/subject/27038968/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2458429082.jpg
26892281;青年警察;7.1;https://movie.douban.com/subject/26892281/;True;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2496271058.jpg
26325320;血战钢锯岭;8.7;https://movie.douban.com/subject/26325320/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2397337958.jpg
